,Data.Type,Unit.humid,Value.humid
1,rel_hum,p,163
2,rel_hum,p,163
3,rel_hum,p,163
4,rel_hum,p,163
5,rel_hum,p,163
6,rel_hum,p,163
7,rel_hum,p,163
8,rel_hum,p,70
9,rel_hum,p,163
10,rel_hum,p,163
11,rel_hum,p,163
12,rel_hum,p,163
13,rel_hum,p,163
14,rel_hum,p,163
15,rel_hum,p,163
16,rel_hum,p,163
17,rel_hum,p,163
18,rel_hum,p,163
19,rel_hum,p,163
20,rel_hum,p,163
21,rel_hum,p,163
22,rel_hum,p,163
23,rel_hum,p,163
24,rel_hum,p,163
25,rel_hum,p,163
26,rel_hum,p,163
27,rel_hum,p,163
28,rel_hum,p,163
29,rel_hum,p,163
30,rel_hum,p,163
31,rel_hum,p,163
32,rel_hum,p,175.8000031
33,rel_hum,p,163
34,rel_hum,p,163
35,rel_hum,p,163
36,rel_hum,p,163
37,rel_hum,p,163
38,rel_hum,p,163
39,rel_hum,p,163
40,rel_hum,p,163
41,rel_hum,p,163
42,rel_hum,p,163
43,rel_hum,p,163
44,rel_hum,p,163
45,rel_hum,p,163
46,rel_hum,p,163
47,rel_hum,p,163
48,rel_hum,p,163
49,rel_hum,p,163
50,rel_hum,p,163
51,rel_hum,p,163
52,rel_hum,p,163
53,rel_hum,p,37
54,rel_hum,p,36
55,rel_hum,p,36
56,rel_hum,p,36
57,rel_hum,p,36
58,rel_hum,p,38
59,rel_hum,p,38
60,rel_hum,p,37
61,rel_hum,p,38
62,rel_hum,p,38
63,rel_hum,p,37
64,rel_hum,p,36
65,rel_hum,p,36
66,rel_hum,p,36
67,rel_hum,p,36
68,rel_hum,p,38
69,rel_hum,p,37
70,rel_hum,p,37
71,rel_hum,p,38
72,rel_hum,p,36
73,rel_hum,p,41
74,rel_hum,p,41
75,rel_hum,p,41
76,rel_hum,p,36
77,rel_hum,p,37
78,rel_hum,p,38
79,rel_hum,p,37
80,rel_hum,p,36
81,rel_hum,p,38
82,rel_hum,p,38
83,rel_hum,p,38
84,rel_hum,p,36
85,rel_hum,p,36
86,rel_hum,p,37
87,rel_hum,p,36
88,rel_hum,p,38
89,rel_hum,p,36
90,rel_hum,p,36
91,rel_hum,p,36
92,rel_hum,p,36
93,rel_hum,p,35
94,rel_hum,p,36
95,rel_hum,p,46
96,rel_hum,p,39
97,rel_hum,p,42
98,rel_hum,p,40
99,rel_hum,p,36
100,rel_hum,p,36
101,rel_hum,p,37
102,rel_hum,p,36
103,rel_hum,p,37
104,rel_hum,p,36
105,rel_hum,p,37
106,rel_hum,p,37
107,rel_hum,p,37
108,rel_hum,p,37
109,rel_hum,p,36
110,rel_hum,p,36
111,rel_hum,p,36
112,rel_hum,p,36
113,rel_hum,p,36
114,rel_hum,p,37
115,rel_hum,p,36
116,rel_hum,p,36
117,rel_hum,p,36
118,rel_hum,p,36
